Standardized_name,YPD,LET,Flor,LD,IG,PSH,PA,Missing,MissingCollection
AMI,1,1,0,1,0.044564503,0,0.121664828,,
,,,,,,,,,
AMK,1,1,0,1,0.016337189,0,0.111290307,,
,,,,,,,,,
AML,1,1,0,1,0.022041068,0,0.121193258,,
,,,,,,,,,
AMM,1,1.666666667,0,2,25.96366686,17.689385,1.314734648,,
,,,,,,,,,
AMN,1,1,0,1,0.379827771,11.84285667,0.107989324,,
,,,,,,,,,
AMP,1,1,0,1,0.620105453,32.9773202,6.477473144,,
,,,,,,,,,
AMQ,1,1.333333333,0,1,0.023494689,10.14127,1.548632921,,
,,,,,,,,,
AMR,1,1,0,1,0.282244279,0,0.997840214,,
,,,,,,,,,
ANA,1,1,0,2,0.089086134,0,0.466381839,,
,,,,,,,,,
ANC,1,1,0,1,0.192855122,0,1.110073659,,
,,,,,,,,,
AND,1,1,0,1,0.003246753,0,0.400833734,,
,,,,,,,,,
ANE,1,1,0,1,0.017777778,0,1.759424308,,
,,,,,,,,,
ANF,1,1,0,1,0.029623824,0,1.865055787,,
,,,,,,,,,
ANG,1,1,0,1,0.054980551,11.87353,2.569580021,,
,,,,,,,,,
ANH,1,1,0,1,0.006493506,0,1.107244244,,
,,,,,,,,,
ANI,1,2,0,1,0.054409083,0,1.540144677,,
,,,,,,,,,
ANK,1,1,0,1,0.040788031,0,1.462807345,,
,,,,,,,,,
ANL,1.333333333,1,1.333333333,1,1.448316138,0,2.860538155,,
,,,,,,,,,
ANM,1.666666667,1,0,1.333333333,5.611971527,0,2.431881844,,
,,,,,,,,,
ANN,1,1,0,1,3.602030635,16.897505,1.275122844,,
,,,,,,,,,
ANP,1,1.333333333,0,1,17.82201405,0,1.131294269,,
,,,,,,,,,
ANQ,1,2,3.333333333,1,0.402094436,11.1548155,20.95370135,,
,,,,,,,,,
ANR,1,1,0,1,0.036231884,0,9.79779117,,
,,,,,,,,,
ANS,1,1.333333333,0,1,0.065678453,0,4.250723859,,
,,,,,,,,,
ANT,1,1,0.666666667,1,0.002192982,0,6.177083628,,
,,,,,,,,,
ANV,2,2,1,1.666666667,0.004761905,0,9.595488027,,
,,,,,,,,,
APA,1,2,1,1,0,0,11.11912779,,
,,,,,,,,,
